Odour_presentation,Duration_sniffing,Source,Odour_type_presentation,Video_id,Genotype,Sex,Age,Filtered,Status
Odour1.1,14.4,Manual,Water1,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour1.2,3,Manual,Water2,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour1.3,2.4,Manual,Water3,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour2.1,22.5,Manual,Familiar1,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour2.2,15.6,Manual,Familiar2,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour2.3,9.8,Manual,Familiar3,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour3.1,44,Manual,Novel1,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour3.2,20.2,Manual,Novel2,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour3.3,8.1,Manual,Novel3,1643794787463_000000_20220202WFNC9ORF42a,4,Male,15,No,1
Odour1.1,12.9,Manual,Water1,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour1.2,18.3,Manual,Water2,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour1.3,1.9,Manual,Water3,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour2.1,15.1,Manual,Familiar1,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour2.2,13.9,Manual,Familiar2,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour2.3,0.5,Manual,Familiar3,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour3.1,25.4,Manual,Novel1,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour3.2,21.5,Manual,Novel2,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour3.3,11.5,Manual,Novel3,1643794843840_000000_20220202WFNC9ORF62c,4,Male,15,No,1
Odour1.1,28.1,Manual,Novel1,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour1.2,7.3,Manual,Novel2,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour1.3,5.3,Manual,Novel3,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour2.1,8.7,Manual,Water1,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,0
Odour2.2,2,Manual,Water2,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,0
Odour2.3,0,Manual,Water3,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,0
Odour3.1,22.1,Manual,Familiar1,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour3.2,2.5,Manual,Familiar2,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour3.3,0,Manual,Familiar3,1643797213673_000000_20220202NWFC9ORF61f,2,Male,15,No,1
Odour1.1,29.4,Manual,Novel1,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
Odour1.2,9.3,Manual,Novel2,1643797340651_000000_20220202NWFC9ORF72h,2,Male,15,No,1
