Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Age,Filtered,Status
Odour1.2,28.7,Novel2,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,15,No,1
Odour1.3,27,Novel3,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,15,No,1
Odour2.1,10.2,Familiar1,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,15,No,1
Odour2.2,11.4,Familiar2,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,15,No,1
Odour2.3,0,Familiar3,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,15,No,1
Odour3.1,12.3,Water1,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,15,No,1
Odour3.2,0,Water2,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,15,No,1
Odour3.3,0,Water3,1639663160017_000000_20211216NFWTDP4311h,Manual,H,Male,15,No,1
Odour1.1,21.7,Novel1,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,15,No,1
Odour1.2,10.3,Novel2,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,15,No,1
Odour1.3,17.8,Novel3,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,15,No,1
Odour2.1,10,Familiar1,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,15,No,1
Odour2.2,0.2,Familiar2,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,15,No,1
Odour2.3,0,Familiar3,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,15,No,1
Odour3.1,12.9,Water1,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,15,No,1
Odour3.2,15,Water2,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,15,No,1
Odour3.3,0,Water3,1639663198143_000000_20211216NFWTDP4381d,Manual,H,Male,15,No,1
Odour1.1,17.8,Novel1,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,15,No,1
Odour1.2,5.1,Novel2,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,15,No,1
Odour1.3,0,Novel3,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,15,No,1
Odour2.1,9.4,Familiar1,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,15,No,0
Odour2.2,9.6,Familiar2,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,15,No,0
Odour2.3,29.9,Familiar3,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,15,No,0
Odour3.1,11.4,Water1,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,15,No,1
Odour3.2,0,Water2,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,15,No,1
Odour3.3,0,Water3,1639663244146_000000_20211216NFWTDP4391g,Manual,H,Male,15,No,1
Odour1.1,33.9,Novel1,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,15,No,1
Odour1.2,47.7,Novel2,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,15,No,1
Odour1.3,24.2,Novel3,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,15,No,1
Odour2.1,28.4,Water1,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,15,No,1
Odour2.2,30.1,Water2,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,15,No,1
Odour2.3,5,Water3,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,15,No,1
Odour3.1,65.5,Familiar1,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,15,No,1
Odour3.2,33.6,Familiar2,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,15,No,1
Odour3.3,29.8,Familiar3,1645002557994_000000_20220216NWFTDP4312b,Manual,G,Female,15,No,1
Odour1.1,46.3,Novel1,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,15,No,1
Odour1.2,35.3,Novel2,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,15,No,1
Odour1.3,5.4,Novel3,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,15,No,1
Odour2.1,13.1,Water1,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,15,No,1
Odour2.2,5,Water2,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,15,No,1
Odour2.3,8.7,Water3,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,15,No,1
Odour3.1,30.4,Familiar1,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,15,No,1
Odour3.2,15.9,Familiar2,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,15,No,1
Odour3.3,8.6,Familiar3,1645002629680_000000_20220216NWFTDP4323c,Manual,G,Female,15,No,1
Odour1.1,23.2,Novel1,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,15,No,1
Odour1.2,18.4,Novel2,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,15,No,1
Odour1.3,12.1,Novel3,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,15,No,1
Odour2.1,27.1,Water1,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,15,No,1
Odour2.2,9.5,Water2,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,15,No,1
Odour2.3,4.4,Water3,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,15,No,1
Odour3.1,31.1,Familiar1,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,15,No,1
Odour3.2,18.5,Familiar2,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,15,No,1
Odour3.3,11.3,Familiar3,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,15,No,1
Odour1.1,15.8,Novel1,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,15,No,1
Odour1.2,18.4,Novel2,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,15,No,1
Odour1.3,7.7,Novel3,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,15,No,1
Odour2.1,20.4,Familiar1,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,15,No,1
Odour2.2,16.9,Familiar2,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,15,No,1
Odour2.3,21.6,Familiar3,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,15,No,1
Odour3.1,31.1,Water1,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,15,No,1
Odour3.2,4,Water2,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,15,No,1
Odour3.3,4.9,Water3,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,15,No,1
Odour1.1,20.5,Novel1,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,15,No,1
Odour1.2,3.7,Novel2,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,15,No,1
Odour1.3,19,Novel3,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,15,No,1
Odour2.1,19.6,Familiar1,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,15,No,1
Odour2.2,13.1,Familiar2,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,15,No,1
Odour2.3,2.4,Familiar3,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,15,No,1
Odour3.1,1.9,Water1,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,15,No,0
Odour3.2,5.6,Water2,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,15,No,0
Odour3.3,4.3,Water3,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,15,No,0
Odour1.1,32.9,Novel1,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,15,No,1
Odour1.2,11.3,Novel2,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,15,No,1
Odour1.3,11.7,Novel3,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,15,No,1
Odour2.1,23.9,Familiar1,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,15,No,1
Odour2.2,10.2,Familiar2,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,15,No,1
Odour2.3,33.2,Familiar3,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,15,No,1
Odour3.1,32.5,Water1,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,15,No,1
Odour3.2,8.4,Water2,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,15,No,1
Odour3.3,4,Water3,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,15,No,1
Odour1.1,19.5,Familiar1,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,15,No,1
Odour1.2,0,Familiar2,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,15,No,1
Odour1.3,0,Familiar3,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,15,No,1
Odour2.1,0,Novel1,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,15,No,0
Odour2.2,0,Novel2,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,15,No,0
Odour2.3,0,Novel3,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,15,No,0
Odour3.1,0,Water1,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,15,No,0
Odour3.2,0,Water2,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,15,No,0
Odour3.3,0,Water3,1645005524338_000000_20220216FNWTDP4323b,Manual,H,Female,15,No,0
Odour1.1,0,Water1,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,15,No,0
Odour1.2,0,Water2,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,15,No,0
Odour1.3,0,Water3,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,15,No,0
Odour2.1,19.6,Familiar1,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,15,No,1
Odour2.2,0,Familiar2,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,15,No,1
Odour2.3,4,Familiar3,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,15,No,1
Odour3.1,17.7,Novel1,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,15,No,1
Odour3.2,5.4,Novel2,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,15,No,1
Odour3.3,3.1,Novel3,1645005796620_000000_120220216WFNTDP4362d,Manual,G,Female,15,No,1
Odour1.1,8.7,Water1,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,15,No,0
Odour1.2,0,Water2,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,15,No,0
Odour1.3,7.6,Water3,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,15,No,0
Odour2.1,42.4,Familiar1,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,15,No,1
Odour2.2,0,Familiar2,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,15,No,1
Odour2.3,6,Familiar3,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,15,No,1
Odour3.1,29.2,Novel1,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,15,No,1
Odour3.2,0,Novel2,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,15,No,1
Odour3.3,0,Novel3,1645005820655_000000_120220216WFNTDP4382c,Manual,G,Female,15,No,1
Odour1.1,11.2,Familiar1,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,15,No,1
Odour1.2,22.9,Familiar2,1645010806237_000000_120220216FNWTDP4323g,Manual,G,Male,15,No,1
