FEATURE,FEATURE_IMPORTANCE_MEAN,FEATURE_IMPORTANCE_STDEV
Angle (degrees) ear_right-front_neck-abdomen,0.0029128937822591834,0.0007985509331323617
Animal_1 movement back (mm),0.0029052049566021866,0.011983111989531984
Angle (degrees) nose-ear_left-back,0.0029028039329467552,0.0010949824745211665
Angle (degrees) ear_right-back_neck-back,0.0028991555540753117,0.0003822025551607367
Angle (degrees) front-ear_right-back_neck,0.002885873413902718,0.0007602376977661869
Angle (degrees) ear_left-back-abdomen,0.002881404524895398,0.0030694499786495483
Angle (degrees) nose-front-back,0.0028745199619574827,0.0011311939069774052
Angle (degrees) front-front_neck-back2,0.002856480960347313,0.0015776209155388865
Angle (degrees) nose-ear_right-back_neck,0.00284632647863584,0.0007414537250290065
Angle (degrees) front-ear_right-back2,0.0028426777777878737,0.0009264107119951243
Animal_1 movement front_neck (mm),0.0028235468795069557,0.012043707690869999
Angle (degrees) front-ear_right-back,0.002823377381963401,0.001003227681959877
Angle (degrees) nose-front-front_neck,0.0028224499502250864,0.002283401415340961
Angle (degrees) ear_right-front_neck-back_neck,0.0028177204708235712,0.001677227895438056
Angle (degrees) ear_right-back2-base_tail,0.002814343568410057,0.001207933361555834
Angle (degrees) nose-front-ear_right,0.0028129426853318457,0.0007751453036640244
Angle (degrees) ear_right-back_neck-base_tail,0.0028002877548666074,0.0005748924414857583
Angle (degrees) nose-ear_right-front_neck,0.002799154467741609,0.001015926809645418
Angle (degrees) front_neck-back_neck-base_tail,0.0027991389307320145,0.002718399709015447
Angle (degrees) ear_right-back-base_tail,0.0027976825209291654,0.0006725616591999816
Angle (degrees) ear_left-ear_right-back_neck,0.002789098875883398,0.0008547425157188917
Angle (degrees) ear_right-front_neck-back,0.002787945673278531,0.0004248693472478756
Angle (degrees) front-ear_left-back,0.002787364180451676,0.0006387695926138888
Angle (degrees) front-back-abdomen,0.002783058250160517,0.0013219170820750095
Angle (degrees) nose-front_neck-abdomen,0.0027581007044113846,0.0009153220113726235
Angle (degrees) ear_right-back-back2,0.0027560623124480684,0.00045176467103423914
Angle (degrees) nose-front-back_neck,0.002733821904582213,0.0008444332093368606
Angle (degrees) nose-ear_right-base_tail,0.0027326917701656784,0.00222009542521833
Angle (degrees) front-ear_left-base_tail,0.0027297260364680014,0.001279485425228502
Angle (degrees) ear_left-ear_right-front_neck,0.002728217309595795,0.00046874853057445157
Angle (degrees) nose-ear_left-back2,0.0027222209006768747,0.0015109240262222376
Angle (degrees) front-ear_left-back2,0.0027186319005571605,0.0007183653865764143
Angle (degrees) ear_left-back_neck-back2,0.00271282838641172,0.0011010505032628794
Angle (degrees) front_neck-back_neck-back2,0.0026945719381790923,0.0013099041065546659
Angle (degrees) nose-ear_right-abdomen,0.0026836591379013697,0.0012123799821431233
Angle (degrees) front-back-back2,0.0026771535463617642,0.000849502638309974
Angle (degrees) back_neck-back-back2,0.0026713208164300555,0.00040720582838387577
Angle (degrees) back_neck-back-abdomen,0.002664109338772182,0.0007865051904777488
Angle (degrees) front-ear_right-front_neck,0.0026612915890415595,0.0004895891875050597
Angle (degrees) ear_left-back_neck-back,0.002660950816970799,0.0006311378499522718
Angle (degrees) front_neck-back_neck-abdomen,0.0026499408193873136,0.0010963738800657127
Angle (degrees) nose-ear_right-back,0.002636906590070073,0.0006679379573707567
Angle (degrees) front_neck-back_neck-back,0.002629861496512969,0.00038069047703923053
Angle (degrees) front-back_neck-abdomen,0.0026151692884619554,0.0005524212067725633
Angle (degrees) nose-ear_left-base_tail,0.0026110548073454186,0.0013998729479897862
Angle (degrees) nose-ear_right-back2,0.002605094171221801,0.0010340834597070984
Angle (degrees) nose-back_neck-back2,0.002601664658986079,0.001741964114411801
Angle (degrees) nose-front-base_tail,0.0025898411789492775,0.0009872809843296632
Movement_front_neck,0.002584871867757208,0.010365193036524388
Angle (degrees) nose-front-abdomen,0.002552261256535671,0.0011004075054821844
Angle (degrees) front_neck-back-abdomen,0.0025458819698954624,0.0005456810543057424
Angle (degrees) front-back_neck-base_tail,0.002540979375672036,0.0007795900252948304
Angle (degrees) nose-back_neck-back,0.0025090877195537505,0.00044304172421082697
Angle (degrees) nose-front-back2,0.002508472865702381,0.0005445554218901506
Angle (degrees) front-back_neck-back2,0.0025003570598453144,0.0004934063888185396
Angle (degrees) front-back_neck-back,0.002448631750185373,0.0003109572528433644
Animal_1 movement back_neck (mm),0.002217639396703717,0.008766037273844686
Movement_back_neck,0.0021963993396032122,0.008433027996871529
Movement_abdomen,0.002175800428653234,0.007772824132278718
hopper Animal_1 front_neck in zone,0.002088311270743897,0.009186882117668313
Movement_back,0.0020667453211576777,0.006696133362104941
Movement_nose,0.0020635192613363247,0.005382576702468458
Animal_1 movement abdomen (mm),0.002033647726213253,0.0073856374852125815
Movement_base_tail,0.002009351790193295,0.003978032557783822
Animal_1 movement nose (mm),0.0019923106822702617,0.004806724898745875
Animal_1 movement front (mm),0.0019444224956683164,0.005754088866487
Animal_1 movement base_tail (mm),0.0019202992150144892,0.0022605737146908474
Movement_back2,0.0018199300908761046,0.004732187727828362
Animal_1 movement ear_right (mm),0.0017896319773010292,0.004625524211922491
Animal_1 movement back2 (mm),0.0017851098113536065,0.004389230550514021
Movement_front,0.0017772162296780065,0.004233668678419852
Animal_1 movement ear_left (mm),0.0017417434670558936,0.0046332306630480595
Movement_ear_left,0.0016861669488346836,0.003928975320771741
Movement_ear_right,0.0016680594580349595,0.004265971989285547
hopper Animal_1 base_tail in zone,0.0014255226504456312,0.008140345378924446
hopper Animal_1 ear_left in zone,0.0010586337007862964,0.007210058938225007
All_bp_movements_Animal_1_min,0.000989718963923872,0.00012517293594182345
hopper Animal_1 abdomen in zone,0.0005214082675382266,0.0034489159036329383
hopper Animal_1 ear_right in zone,0.00014761623712612255,0.00024498347497502366
hopper Animal_1 back2 in zone,0.00011848719646091118,0.0013168892230194646
hopper Animal_1 back in zone,9.888347274617358e-05,0.0006109300580129959
hopper Animal_1 back_neck in zone,5.938882141735832e-05,4.1452011339891464e-05
copper Animal_1 ear_left in zone,2.4889253419388422e-05,2.5227176809085728e-05
copper Animal_1 ear_right in zone,1.0961796029619108e-08,2.4579101821971025e-07
copper Animal_1 base_tail in zone,2.3449614120167458e-09,1.04843641694056e-07
copper Animal_1 back_neck in zone,0.0,0.0
copper Animal_1 back in zone,0.0,0.0
copper Animal_1 nose in zone,0.0,0.0
copper Animal_1 front in zone,0.0,0.0
copper Animal_1 back2 in zone,0.0,0.0
copper Animal_1 abdomen in zone,0.0,0.0
copper Animal_1 front_neck in zone,0.0,0.0
