Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour3.3,11.3,Familiar3,1645002664740_000000_20220216NWFTDP4342e,Manual,G,Female,Odour3.3,G,Familiar3,Familiar,3
Odour1.1,15.8,Novel1,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,Odour1.1,H,Novel1,Novel,1
Odour1.2,18.4,Novel2,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,Odour1.2,H,Novel2,Novel,2
Odour1.3,7.7,Novel3,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,Odour1.3,H,Novel3,Novel,3
Odour2.1,20.4,Familiar1,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,16.9,Familiar2,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,21.6,Familiar3,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,31.1,Water1,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,4,Water2,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,4.9,Water3,1645002721824_000000_20220216NFWTDP4312e,Manual,H,Female,Odour3.3,H,Water3,Water,3
Odour1.1,20.5,Novel1,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,Odour1.1,H,Novel1,Novel,1
Odour1.2,3.7,Novel2,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,Odour1.2,H,Novel2,Novel,2
Odour1.3,19,Novel3,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,Odour1.3,H,Novel3,Novel,3
Odour2.1,19.6,Familiar1,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,13.1,Familiar2,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,2.4,Familiar3,1645002760785_000000_20220216NFWTDP4324c,Manual,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour1.1,32.9,Novel1,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,Odour1.1,H,Novel1,Novel,1
Odour1.2,11.3,Novel2,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,Odour1.2,H,Novel2,Novel,2
Odour1.3,11.7,Novel3,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,Odour1.3,H,Novel3,Novel,3
Odour2.1,23.9,Familiar1,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,10.2,Familiar2,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,33.2,Familiar3,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,32.5,Water1,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,8.4,Water2,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,4,Water3,1645002792388_000000_20220216NFWTDP4342b,Manual,H,Female,Odour3.3,H,Water3,Water,3
