Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour3.3,3.6,Familiar3,1677142227995_000000_20230223NWFTDP23c,Manual,G,Female,Odour3.3,G,Familiar3,Familiar,3
Odour1.1,17.6,Water1,1677142291979_000000_20230223WFNTDP12e,Manual,H,Female,Odour1.1,H,Water1,Water,1
Odour1.2,5.5,Water2,1677142291979_000000_20230223WFNTDP12e,Manual,H,Female,Odour1.2,H,Water2,Water,2
Odour1.3,7.4,Water3,1677142291979_000000_20230223WFNTDP12e,Manual,H,Female,Odour1.3,H,Water3,Water,3
Odour2.1,56.5,Familiar1,1677142291979_000000_20230223WFNTDP12e,Manual,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,2.9,Familiar2,1677142291979_000000_20230223WFNTDP12e,Manual,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,10.5,Familiar3,1677142291979_000000_20230223WFNTDP12e,Manual,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,43.4,Novel1,1677142291979_000000_20230223WFNTDP12e,Manual,H,Female,Odour3.1,H,Novel1,Novel,1
Odour3.2,11.1,Novel2,1677142291979_000000_20230223WFNTDP12e,Manual,H,Female,Odour3.2,H,Novel2,Novel,2
Odour3.3,8.1,Novel3,1677142291979_000000_20230223WFNTDP12e,Manual,H,Female,Odour3.3,H,Novel3,Novel,3
Odour1.1,11.1,Water1,1677142318225_000000_20230223WFNTDP24c,Manual,H,Female,Odour1.1,H,Water1,Water,1
Odour1.2,3.9,Water2,1677142318225_000000_20230223WFNTDP24c,Manual,H,Female,Odour1.2,H,Water2,Water,2
Odour1.3,4,Water3,1677142318225_000000_20230223WFNTDP24c,Manual,H,Female,Odour1.3,H,Water3,Water,3
Odour2.1,38.4,Familiar1,1677142318225_000000_20230223WFNTDP24c,Manual,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,9.3,Familiar2,1677142318225_000000_20230223WFNTDP24c,Manual,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,4.3,Familiar3,1677142318225_000000_20230223WFNTDP24c,Manual,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,41.2,Novel1,1677142318225_000000_20230223WFNTDP24c,Manual,H,Female,Odour3.1,H,Novel1,Novel,1
Odour3.2,15,Novel2,1677142318225_000000_20230223WFNTDP24c,Manual,H,Female,Odour3.2,H,Novel2,Novel,2
Odour3.3,2.6,Novel3,1677142318225_000000_20230223WFNTDP24c,Manual,H,Female,Odour3.3,H,Novel3,Novel,3
Odour1.1,15.7,Water1,1677142681455_000000_20230223WFNTDP42b,Manual,H,Female,Odour1.1,H,Water1,Water,1
Odour1.2,13.2,Water2,1677142681455_000000_20230223WFNTDP42b,Manual,H,Female,Odour1.2,H,Water2,Water,2
Odour1.3,2.2,Water3,1677142681455_000000_20230223WFNTDP42b,Manual,H,Female,Odour1.3,H,Water3,Water,3
Odour2.1,42.4,Familiar1,1677142681455_000000_20230223WFNTDP42b,Manual,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,12.2,Familiar2,1677142681455_000000_20230223WFNTDP42b,Manual,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,7.8,Familiar3,1677142681455_000000_20230223WFNTDP42b,Manual,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,19.5,Novel1,1677142681455_000000_20230223WFNTDP42b,Manual,H,Female,Odour3.1,H,Novel1,Novel,1
Odour3.2,26.8,Novel2,1677142681455_000000_20230223WFNTDP42b,Manual,H,Female,Odour3.2,H,Novel2,Novel,2
Odour3.3,4.8,Novel3,1677142681455_000000_20230223WFNTDP42b,Manual,H,Female,Odour3.3,H,Novel3,Novel,3
Odour1.1,23.6,Water1,1677150255589_000000_20230223WFNTDP82e,Manual,G,Male,Odour1.1,G,Water1,Water,1
Odour1.2,13.7,Water2,1677150255589_000000_20230223WFNTDP82e,Manual,G,Male,Odour1.2,G,Water2,Water,2
Odour1.3,8.9,Water3,1677150255589_000000_20230223WFNTDP82e,Manual,G,Male,Odour1.3,G,Water3,Water,3
Odour2.1,45.1,Familiar1,1677150255589_000000_20230223WFNTDP82e,Manual,G,Male,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,76.9,Familiar2,1677150255589_000000_20230223WFNTDP82e,Manual,G,Male,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,19.4,Familiar3,1677150255589_000000_20230223WFNTDP82e,Manual,G,Male,Odour2.3,G,Familiar3,Familiar,3
Odour3.1,56.6,Novel1,1677150255589_000000_20230223WFNTDP82e,Manual,G,Male,Odour3.1,G,Novel1,Novel,1
Odour3.2,25.8,Novel2,1677150255589_000000_20230223WFNTDP82e,Manual,G,Male,Odour3.2,G,Novel2,Novel,2
Odour3.3,56.5,Novel3,1677150255589_000000_20230223WFNTDP82e,Manual,G,Male,Odour3.3,G,Novel3,Novel,3
Odour1.1,27.7,Water1,1677150284105_000000_20230223WFNTDP92f,Manual,G,Male,Odour1.1,G,Water1,Water,1
Odour1.2,12.1,Water2,1677150284105_000000_20230223WFNTDP92f,Manual,G,Male,Odour1.2,G,Water2,Water,2
Odour1.3,0,Water3,1677150284105_000000_20230223WFNTDP92f,Manual,G,Male,Odour1.3,G,Water3,Water,3
Odour2.1,70.5,Familiar1,1677150284105_000000_20230223WFNTDP92f,Manual,G,Male,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,51.5,Familiar2,1677150284105_000000_20230223WFNTDP92f,Manual,G,Male,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,4.1,Familiar3,1677150284105_000000_20230223WFNTDP92f,Manual,G,Male,Odour2.3,G,Familiar3,Familiar,3
Odour3.1,38.2,Novel1,1677150284105_000000_20230223WFNTDP92f,Manual,G,Male,Odour3.1,G,Novel1,Novel,1
Odour3.2,9.9,Novel2,1677150284105_000000_20230223WFNTDP92f,Manual,G,Male,Odour3.2,G,Novel2,Novel,2
Odour3.3,38.6,Novel3,1677150284105_000000_20230223WFNTDP92f,Manual,G,Male,Odour3.3,G,Novel3,Novel,3
Odour1.1,39.2,Familiar1,1677150333334_000000_20230223FNWTDP33i,Manual,G,Male,Odour1.1,G,Familiar1,Familiar,1
Odour1.2,12.7,Familiar2,1677150333334_000000_20230223FNWTDP33i,Manual,G,Male,Odour1.2,G,Familiar2,Familiar,2
Odour1.3,0.5,Familiar3,1677150333334_000000_20230223FNWTDP33i,Manual,G,Male,Odour1.3,G,Familiar3,Familiar,3
Odour2.1,23.5,Novel1,1677150333334_000000_20230223FNWTDP33i,Manual,G,Male,Odour2.1,G,Novel1,Novel,1
Odour2.2,17.4,Novel2,1677150333334_000000_20230223FNWTDP33i,Manual,G,Male,Odour2.2,G,Novel2,Novel,2
Odour2.3,8.7,Novel3,1677150333334_000000_20230223FNWTDP33i,Manual,G,Male,Odour2.3,G,Novel3,Novel,3
Odour1.1,44.1,Familiar1,1677150417591_000000_20230223FNWTDP63f,Manual,G,Male,Odour1.1,G,Familiar1,Familiar,1
Odour1.2,28.9,Familiar2,1677150417591_000000_20230223FNWTDP63f,Manual,G,Male,Odour1.2,G,Familiar2,Familiar,2
Odour1.3,13.4,Familiar3,1677150417591_000000_20230223FNWTDP63f,Manual,G,Male,Odour1.3,G,Familiar3,Familiar,3
Odour2.1,41.2,Novel1,1677150417591_000000_20230223FNWTDP63f,Manual,G,Male,Odour2.1,G,Novel1,Novel,1
Odour2.2,53.5,Novel2,1677150417591_000000_20230223FNWTDP63f,Manual,G,Male,Odour2.2,G,Novel2,Novel,2
Odour2.3,29.3,Novel3,1677150417591_000000_20230223FNWTDP63f,Manual,G,Male,Odour2.3,G,Novel3,Novel,3
Odour3.1,23.3,Water1,1677150417591_000000_20230223FNWTDP63f,Manual,G,Male,Odour3.1,G,Water1,Water,1
Odour3.2,5.8,Water2,1677150417591_000000_20230223FNWTDP63f,Manual,G,Male,Odour3.2,G,Water2,Water,2
Odour3.3,2.4,Water3,1677150417591_000000_20230223FNWTDP63f,Manual,G,Male,Odour3.3,G,Water3,Water,3
Odour1.1,31.8,Novel1,1677152542625_000000_20230223NFWTDP33k,Manual,G,Male,Odour1.1,G,Novel1,Novel,1
Odour1.2,21.5,Novel2,1677152542625_000000_20230223NFWTDP33k,Manual,G,Male,Odour1.2,G,Novel2,Novel,2
Odour1.3,11.4,Novel3,1677152542625_000000_20230223NFWTDP33k,Manual,G,Male,Odour1.3,G,Novel3,Novel,3
Odour2.1,34.5,Familiar1,1677152542625_000000_20230223NFWTDP33k,Manual,G,Male,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,8.8,Familiar2,1677152542625_000000_20230223NFWTDP33k,Manual,G,Male,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,0,Familiar3,1677152542625_000000_20230223NFWTDP33k,Manual,G,Male,Odour2.3,G,Familiar3,Familiar,3
Odour1.1,37.7,Novel1,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour1.1,G,Novel1,Novel,1
Odour1.2,61.1,Novel2,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour1.2,G,Novel2,Novel,2
Odour1.3,34.8,Novel3,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour1.3,G,Novel3,Novel,3
Odour2.1,90,Familiar1,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,96,Familiar2,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,79.1,Familiar3,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour2.3,G,Familiar3,Familiar,3
Odour3.1,18.3,Water1,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour3.1,G,Water1,Water,1
Odour3.2,8.4,Water2,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour3.2,G,Water2,Water,2
Odour3.3,2.8,Water3,1677152566807_000000_20230223NFWTDP51j,Manual,G,Male,Odour3.3,G,Water3,Water,3
Odour1.1,39.4,Novel1,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,69.1,Novel2,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,11.3,Novel3,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour1.3,H,Novel3,Novel,3
Odour2.1,45,Familiar1,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,15.8,Familiar2,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,0,Familiar3,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,12.9,Water1,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour3.1,H,Water1,Water,1
Odour3.2,12.3,Water2,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour3.2,H,Water2,Water,2
Odour3.3,9.6,Water3,1677152640243_000000_20230223NFWTDP33n,Manual,H,Male,Odour3.3,H,Water3,Water,3
Odour1.1,32.8,Familiar1,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour1.1,H,Familiar1,Familiar,1
Odour1.2,18.72,Familiar2,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour1.2,H,Familiar2,Familiar,2
Odour1.3,5.56,Familiar3,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour1.3,H,Familiar3,Familiar,3
Odour2.1,20.6,Novel1,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour2.1,H,Novel1,Novel,1
Odour2.2,8.84,Novel2,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour2.2,H,Novel2,Novel,2
Odour2.3,7.12,Novel3,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour2.3,H,Novel3,Novel,3
Odour3.1,10.12,Water1,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,4.28,Water2,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,5,Water3,1671698589150_000000_20222212FNWTDP4391a,ML,H,Female,Odour3.3,H,Water3,Water,3
Odour3.1,16.84,Water1,1671700910553_000000_20222212NFWTDP4322d,ML,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,8.96,Water2,1671700910553_000000_20222212NFWTDP4322d,ML,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,2.64,Water3,1671700910553_000000_20222212NFWTDP4322d,ML,H,Female,Odour3.3,H,Water3,Water,3
Odour1.1,37.68,Novel1,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour1.1,H,Novel1,Novel,1
Odour1.2,6.32,Novel2,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour1.2,H,Novel2,Novel,2
Odour1.3,3.52,Novel3,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour1.3,H,Novel3,Novel,3
Odour2.1,23.92,Familiar1,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,0,Familiar2,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,11.4,Familiar3,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour3.1,11.04,Water1,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,0.96,Water2,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,0,Water3,1671700969130_000000_20222212NFWTDP4361c,ML,H,Female,Odour3.3,H,Water3,Water,3
Odour1.1,21,Novel1,1671701062352_000000_20222212NFWTDP4391g,ML,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,3.76,Novel2,1671701062352_000000_20222212NFWTDP4391g,ML,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,1.8,Novel3,1671701062352_000000_20222212NFWTDP4391g,ML,H,Male,Odour1.3,H,Novel3,Novel,3
Odour1.1,27.32,Water1,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour1.1,G,Water1,Water,1
Odour1.2,6.96,Water2,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour1.2,G,Water2,Water,2
Odour1.3,5.96,Water3,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour1.3,G,Water3,Water,3
Odour2.1,39.8,Familiar1,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour2.1,G,Familiar1,Familiar,1
Odour2.2,11.16,Familiar2,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour2.2,G,Familiar2,Familiar,2
Odour2.3,3.36,Familiar3,1671706619369_000000_20222212WFNTDP4311b,ML,G,Female,Odour2.3,G,Familiar3,Familiar,3
Odour1.1,41.68,Water1,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour1.1,H,Water1,Water,1
Odour1.2,19.4,Water2,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour1.2,H,Water2,Water,2
Odour1.3,42.76,Water3,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour1.3,H,Water3,Water,3
Odour2.1,11.64,Familiar1,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,0.84,Familiar2,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,0.76,Familiar3,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,Odour2.3,H,Familiar3,Familiar,3
Odour1.1,20.8,Novel1,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,Odour1.1,H,Novel1,Novel,1
Odour1.2,4.88,Novel2,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,Odour1.2,H,Novel2,Novel,2
Odour1.3,1.12,Novel3,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,Odour1.3,H,Novel3,Novel,3
Odour1.1,34.6,Novel1,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour1.1,G,Novel1,Novel,1
Odour1.2,20.44,Novel2,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour1.2,G,Novel2,Novel,2
Odour1.3,12.84,Novel3,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour1.3,G,Novel3,Novel,3
Odour2.1,16.8,Water1,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour2.1,G,Water1,Water,1
Odour2.2,1.96,Water2,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour2.2,G,Water2,Water,2
Odour2.3,0,Water3,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour2.3,G,Water3,Water,3
Odour3.1,34.12,Familiar1,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour3.1,G,Familiar1,Familiar,1
Odour3.2,17.36,Familiar2,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour3.2,G,Familiar2,Familiar,2
Odour3.3,14.4,Familiar3,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,Odour3.3,G,Familiar3,Familiar,3
Odour1.1,38.36,Novel1,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour1.1,G,Novel1,Novel,1
Odour1.2,24.28,Novel2,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour1.2,G,Novel2,Novel,2
Odour1.3,27.88,Novel3,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour1.3,G,Novel3,Novel,3
Odour2.1,47.36,Water1,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour2.1,G,Water1,Water,1
Odour2.2,15.8,Water2,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour2.2,G,Water2,Water,2
Odour2.3,0,Water3,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour2.3,G,Water3,Water,3
Odour3.1,20.92,Familiar1,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour3.1,G,Familiar1,Familiar,1
Odour3.2,15.32,Familiar2,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,Odour3.2,G,Familiar2,Familiar,2
