Odour_presentation,Duration_sniffing,Odour_type_presentation,mouse_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour1.1,22.7,Water1,1671623696944_000000_20221221WFNC9ORF32e,Manual,2,Male,Odour1.1,2,Water1,Water,1
Odour1.2,4.7,Water2,1671623696944_000000_20221221WFNC9ORF32e,Manual,2,Male,Odour1.2,2,Water2,Water,2
Odour1.3,2.6,Water3,1671623696944_000000_20221221WFNC9ORF32e,Manual,2,Male,Odour1.3,2,Water3,Water,3
Odour3.1,34.8,Novel1,1671623696944_000000_20221221WFNC9ORF32e,Manual,2,Male,Odour3.1,2,Novel1,Novel,1
Odour3.2,38,Novel2,1671623696944_000000_20221221WFNC9ORF32e,Manual,2,Male,Odour3.2,2,Novel2,Novel,2
Odour3.3,10,Novel3,1671623696944_000000_20221221WFNC9ORF32e,Manual,2,Male,Odour3.3,2,Novel3,Novel,3
Odour1.1,16.8,Water1,1671623717486_000000_20221221WFNC9ORF32h,Manual,2,Male,Odour1.1,2,Water1,Water,1
Odour1.2,24.1,Water2,1671623717486_000000_20221221WFNC9ORF32h,Manual,2,Male,Odour1.2,2,Water2,Water,2
Odour1.3,22.4,Water3,1671623717486_000000_20221221WFNC9ORF32h,Manual,2,Male,Odour1.3,2,Water3,Water,3
Odour1.1,14.4,Water1,1671623738374_000000_20221221WFNC9ORF41c,Manual,2,Male,Odour1.1,2,Water1,Water,1
Odour1.2,5.1,Water2,1671623738374_000000_20221221WFNC9ORF41c,Manual,2,Male,Odour1.2,2,Water2,Water,2
Odour1.3,0,Water3,1671623738374_000000_20221221WFNC9ORF41c,Manual,2,Male,Odour1.3,2,Water3,Water,3
Odour2.1,22.7,Familiar1,1671623738374_000000_20221221WFNC9ORF41c,Manual,2,Male,Odour2.1,2,Familiar1,Familiar,1
Odour2.2,11,Familiar2,1671623738374_000000_20221221WFNC9ORF41c,Manual,2,Male,Odour2.2,2,Familiar2,Familiar,2
Odour2.3,0,Familiar3,1671623738374_000000_20221221WFNC9ORF41c,Manual,2,Male,Odour2.3,2,Familiar3,Familiar,3
Odour1.1,55,Familiar1,1671623779451_000000_20221221FNWC9ORF32d,Manual,4,Male,Odour1.1,4,Familiar1,Familiar,1
Odour1.2,69.9,Familiar2,1671623779451_000000_20221221FNWC9ORF32d,Manual,4,Male,Odour1.2,4,Familiar2,Familiar,2
Odour1.3,39.4,Familiar3,1671623779451_000000_20221221FNWC9ORF32d,Manual,4,Male,Odour1.3,4,Familiar3,Familiar,3
Odour2.1,55.5,Novel1,1671623779451_000000_20221221FNWC9ORF32d,Manual,4,Male,Odour2.1,4,Novel1,Novel,1
Odour2.2,63.3,Novel2,1671623779451_000000_20221221FNWC9ORF32d,Manual,4,Male,Odour2.2,4,Novel2,Novel,2
Odour2.3,71.2,Novel3,1671623779451_000000_20221221FNWC9ORF32d,Manual,4,Male,Odour2.3,4,Novel3,Novel,3
Odour3.1,33.9,Water1,1671623779451_000000_20221221FNWC9ORF32d,Manual,4,Male,Odour3.1,4,Water1,Water,1
Odour3.2,34.6,Water2,1671623779451_000000_20221221FNWC9ORF32d,Manual,4,Male,Odour3.2,4,Water2,Water,2
Odour3.3,17.6,Water3,1671623779451_000000_20221221FNWC9ORF32d,Manual,4,Male,Odour3.3,4,Water3,Water,3
