Video,Bin,Sum_Value
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,6,7.08
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,7,20.0
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,8,15.119999999999997
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,9,11.879999999999999
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,1,31.96
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,2,5.4
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,3,15.440000000000001
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,4,33.48
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,5,28.680000000000003
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,6,30.28
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,7,27.919999999999998
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,8,19.4
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,9,24.44
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,1,13.919999999999998
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,2,0.0
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,3,3.9199999999999995
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,4,31.480000000000004
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,5,33.96
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,6,6.680000000000001
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,7,6.2
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,8,20.800000000000004
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,9,27.560000000000002
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,1,18.12
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,2,14.920000000000002
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,3,1.6
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,4,29.52
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,5,17.6
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,6,16.160000000000004
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,7,11.16
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,8,2.04
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,9,0.0
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,1,16.6
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,2,10.879999999999999
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,3,5.52
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,4,43.36
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,5,15.040000000000001
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,6,8.799999999999999
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,7,10.959999999999999
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,8,11.2
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,9,4.24
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,1,18.720000000000002
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,2,24.08
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,3,20.6
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,4,19.080000000000002
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,5,5.84
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,6,3.04
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,7,24.240000000000002
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,8,15.04
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,9,8.4
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,1,16.44
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,2,18.44
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,3,12.879999999999999
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,4,20.08
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,5,8.24
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,6,1.8
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,7,13.44
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,8,0.0
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,9,0.0
filtered_1640168578369_000000_20211222NWFC9ORF31Ccropped,1,20.04
filtered_1640168578369_000000_20211222NWFC9ORF31Ccropped,2,3.8400000000000003
filtered_1640168578369_000000_20211222NWFC9ORF31Ccropped,3,0.0
filtered_1640168578369_000000_20211222NWFC9ORF31Ccropped,4,0.0
filtered_1640168578369_000000_20211222NWFC9ORF31Ccropped,5,13.48
filtered_1640168578369_000000_20211222NWFC9ORF31Ccropped,6,0.0
filtered_1640168578369_000000_20211222NWFC9ORF31Ccropped,7,6.76
filtered_1640168578369_000000_20211222NWFC9ORF31Ccropped,8,4.08
filtered_1640168578369_000000_20211222NWFC9ORF31Ccropped,9,0.0
filtered_1640170700852_000000_20211222NWFC9ORF31Dcropped,1,27.719999999999995
filtered_1640170700852_000000_20211222NWFC9ORF31Dcropped,2,15.280000000000001
filtered_1640170700852_000000_20211222NWFC9ORF31Dcropped,3,29.200000000000003
filtered_1640170700852_000000_20211222NWFC9ORF31Dcropped,4,15.280000000000001
filtered_1640170700852_000000_20211222NWFC9ORF31Dcropped,5,7.04
filtered_1640170700852_000000_20211222NWFC9ORF31Dcropped,6,1.12
filtered_1640170700852_000000_20211222NWFC9ORF31Dcropped,7,29.400000000000002
filtered_1640170700852_000000_20211222NWFC9ORF31Dcropped,8,5.24
filtered_1640170700852_000000_20211222NWFC9ORF31Dcropped,9,6.5600000000000005
filtered_1640170756532_000000_20211222NWFC9ORF42Acropped,1,32.92
filtered_1640170756532_000000_20211222NWFC9ORF42Acropped,2,12.079999999999998
filtered_1640170756532_000000_20211222NWFC9ORF42Acropped,3,7.68
filtered_1640170756532_000000_20211222NWFC9ORF42Acropped,4,14.96
filtered_1640170756532_000000_20211222NWFC9ORF42Acropped,5,1.56
filtered_1640170756532_000000_20211222NWFC9ORF42Acropped,6,0.0
filtered_1640170756532_000000_20211222NWFC9ORF42Acropped,7,17.36
filtered_1640170756532_000000_20211222NWFC9ORF42Acropped,8,0.0
filtered_1640170756532_000000_20211222NWFC9ORF42Acropped,9,0.0
filtered_1640176217569_000000_20211222NFWC9ORF14Eshortcropped,1,45.84
filtered_1640176217569_000000_20211222NFWC9ORF14Eshortcropped,2,35.92
filtered_1640176217569_000000_20211222NFWC9ORF14Eshortcropped,3,0.0
filtered_1640176217569_000000_20211222NFWC9ORF14Eshortcropped,4,0.0
filtered_1640176217569_000000_20211222NFWC9ORF14Eshortcropped,5,0.0
filtered_1640176217569_000000_20211222NFWC9ORF14Eshortcropped,6,0.0
filtered_1640176217569_000000_20211222NFWC9ORF14Eshortcropped,7,9.0
filtered_1640176217569_000000_20211222NFWC9ORF14Eshortcropped,8,8.760000000000002
filtered_1640176217569_000000_20211222NFWC9ORF14Eshortcropped,9,13.52
filtered_1640178362672_000000_20211222WFNC9ORF32Dcropped,1,23.28
filtered_1640178362672_000000_20211222WFNC9ORF32Dcropped,2,22.520000000000003
filtered_1640178362672_000000_20211222WFNC9ORF32Dcropped,3,10.8
filtered_1640178362672_000000_20211222WFNC9ORF32Dcropped,4,24.76
filtered_1640178362672_000000_20211222WFNC9ORF32Dcropped,5,10.600000000000001
filtered_1640178362672_000000_20211222WFNC9ORF32Dcropped,6,6.84
filtered_1640178362672_000000_20211222WFNC9ORF32Dcropped,7,27.2
filtered_1640178362672_000000_20211222WFNC9ORF32Dcropped,8,10.120000000000001
filtered_1640178362672_000000_20211222WFNC9ORF32Dcropped,9,0.0
filtered_1640178404117_000000_20211222WFNC9ORF51Ccropped,1,4.359999999999999
filtered_1640178404117_000000_20211222WFNC9ORF51Ccropped,2,4.24
filtered_1640178404117_000000_20211222WFNC9ORF51Ccropped,3,0.0
filtered_1640178404117_000000_20211222WFNC9ORF51Ccropped,4,5.88
filtered_1640178404117_000000_20211222WFNC9ORF51Ccropped,5,19.64
filtered_1640178404117_000000_20211222WFNC9ORF51Ccropped,6,16.880000000000003
filtered_1640178404117_000000_20211222WFNC9ORF51Ccropped,7,29.4
filtered_1640178404117_000000_20211222WFNC9ORF51Ccropped,8,10.44
filtered_1640178404117_000000_20211222WFNC9ORF51Ccropped,9,0.0
filtered_1643710387214_000000_20220201NWFC9ORF61ccropped,1,44.92
filtered_1643710387214_000000_20220201NWFC9ORF61ccropped,2,27.760000000000005
filtered_1643710387214_000000_20220201NWFC9ORF61ccropped,3,33.16
filtered_1643710387214_000000_20220201NWFC9ORF61ccropped,4,35.08
filtered_1643710387214_000000_20220201NWFC9ORF61ccropped,5,13.919999999999998
filtered_1643710387214_000000_20220201NWFC9ORF61ccropped,6,11.920000000000002
filtered_1643710387214_000000_20220201NWFC9ORF61ccropped,7,12.680000000000001
filtered_1643710387214_000000_20220201NWFC9ORF61ccropped,8,8.64
filtered_1643710387214_000000_20220201NWFC9ORF61ccropped,9,8.719999999999999
filtered_1643710413634_000000_20220201NWFC9ORF62fcropped,1,31.0
filtered_1643710413634_000000_20220201NWFC9ORF62fcropped,2,15.120000000000001
filtered_1643710413634_000000_20220201NWFC9ORF62fcropped,3,1.44
filtered_1643710413634_000000_20220201NWFC9ORF62fcropped,4,49.88
filtered_1643710413634_000000_20220201NWFC9ORF62fcropped,5,18.04
filtered_1643710413634_000000_20220201NWFC9ORF62fcropped,6,34.84
filtered_1643710413634_000000_20220201NWFC9ORF62fcropped,7,25.919999999999998
filtered_1643710413634_000000_20220201NWFC9ORF62fcropped,8,24.92
