Behavior_x,Total Duration(s)_x,Type_x,filename
Odour1.2,13.8,,1639654945839_000000_20211216NFWTDP4361c
Odour2.2,13,,1639654945839_000000_20211216NFWTDP4361c
Odour3.2,7.1,,1639654945839_000000_20211216NFWTDP4361c
Odour1.3,7.3,,1639654945839_000000_20211216NFWTDP4361c
Odour2.3,12.1,,1639654945839_000000_20211216NFWTDP4361c
Odour3.3,6.1,,1639654945839_000000_20211216NFWTDP4361c
Odour1.1,29.2,,1639657412770_000000_20211216FNWTDP4311f
Odour2.1,19.5,,1639657412770_000000_20211216FNWTDP4311f
Odour3.1,9,,1639657412770_000000_20211216FNWTDP4311f
Odour1.2,19.3,,1639657412770_000000_20211216FNWTDP4311f
Odour2.2,7,,1639657412770_000000_20211216FNWTDP4311f
Odour3.2,0,,1639657412770_000000_20211216FNWTDP4311f
Odour1.3,27.1,,1639657412770_000000_20211216FNWTDP4311f
Odour2.3,0,,1639657412770_000000_20211216FNWTDP4311f
Odour3.3,0,,1639657412770_000000_20211216FNWTDP4311f
Odour1.1,23.1,,1639657513165_000000_20211216FNWTDP4361g
Odour2.1,24.9,,1639657513165_000000_20211216FNWTDP4361g
Odour3.1,18.6,,1639657513165_000000_20211216FNWTDP4361g
Odour1.2,29.9,,1639657513165_000000_20211216FNWTDP4361g
Odour2.2,40.3,,1639657513165_000000_20211216FNWTDP4361g
Odour3.2,7.3,,1639657513165_000000_20211216FNWTDP4361g
Odour1.3,12.4,,1639657513165_000000_20211216FNWTDP4361g
Odour2.3,20.1,,1639657513165_000000_20211216FNWTDP4361g
Odour3.3,0,,1639657513165_000000_20211216FNWTDP4361g
Odour1.1,13.7,,1639657662975_000000_20211216WFNTDP4311i
Odour2.1,29.2,,1639657662975_000000_20211216WFNTDP4311i
Odour3.1,0,,1639657662975_000000_20211216WFNTDP4311i
Odour1.2,0.3,,1639657662975_000000_20211216WFNTDP4311i
Odour2.2,23.6,,1639657662975_000000_20211216WFNTDP4311i
Odour3.2,0,,1639657662975_000000_20211216WFNTDP4311i
Odour1.3,0,,1639657662975_000000_20211216WFNTDP4311i
Odour2.3,4.5,,1639657662975_000000_20211216WFNTDP4311i
Odour3.3,0,,1639657662975_000000_20211216WFNTDP4311i
Odour1.1,4.9,,1639657707616_000000_20211216WFNTDP4391h
Odour2.1,47.8,,1639657707616_000000_20211216WFNTDP4391h
Odour3.1,9,,1639657707616_000000_20211216WFNTDP4391h
Odour1.2,0,,1639657707616_000000_20211216WFNTDP4391h
Odour2.2,12.9,,1639657707616_000000_20211216WFNTDP4391h
Odour3.2,6.3,,1639657707616_000000_20211216WFNTDP4391h
Odour1.3,18,,1639657707616_000000_20211216WFNTDP4391h
Odour2.3,7.8,,1639657707616_000000_20211216WFNTDP4391h
Odour3.3,0,,1639657707616_000000_20211216WFNTDP4391h
Odour1.1,32.5,,1639663160017_000000_20211216NFWTDP4311h
